dmdcode,bnf
122665001000027109,01060400
122715001000027100,04010200
122725001000027109,04010200
122815001000027102,03040102
12285911000001101,04066000
122865001000027103,03020000
12287511000001104,02040000
12287611000001100,02040000
12291711000001101,04070200
12292411000001102,04070200
122935001000027100,04070200
12295111000001100,09060400
122965001000027105,01010101
12298911000001108,10010500
12301411000001101,10010100
12303411000001102,04070200
12315111000001105,04110000
12315211000001104,04110000
123165001000027104,03040102
123265001000027101,09040100
123475001000027107,07030202
123495001000027103,04070100
123535001000027100,10010100
123565001000027105,02020100
123585001000027108,03090100
123795001000027108,04070100
123805001000027108,04010200
123865001000027109,04070100
12388811000001109,04070200
123905001000027103,04070130
12391011000001108,04070200
123911000001106,02050400
12391611000001101,04070200
12391811000001102,04070200
12392111000001104,04070200
123945001000027108,03040102
123965001000027102,09040300
12411000001106,09040251
124111000001105,06010103
124175001000027108,09040100
12422611000001106,02040000
124235001000027108,09040300
124315001000027105,09050101
124345001000027103,09060400
124511000001101,02060400
124575001000027100,08010300
124775001000027101,03090100
124811000001103,04070100
124815001000027107,02020100
124911000001108,08030402
124945001000027105,01060100
12499911000001104,04065500
125011000001108,10030250
125055001000027105,02050200
12505611000001103,04020100
125111000001109,04030100
125115001000027106,02050200
125185001000027108,10010100
125255001000027104,06030200
12528211000001102,06010103
12528811000001101,06010103
12530711000001105,06010103
12531211000001109,06010103
12532011000001107,10030250
125335001000027107,06010102
12534611000001108,10010500
12535411000001106,10010500
12556311000001105,01090200
12556611000001100,04100200
12560211000001105,10010100
12561511000001101,09060300
12562611000001108,09060300
12563111000001106,09060300
12564411000001103,09060300
125645001000027100,01010200
12564511000001104,09060300
12564611000001100,09060300
125665001000027106,04090200
125735001000027108,02060200
125745001000027109,02060200
12574611000001106,09060300
125795001000027101,03080000
12579811000001109,09060700
125811000001102,09040300
125815001000027104,04070401
125825001000027108,04070401
125905001000027106,04070401
125915001000027108,04070401
126111000001103,10010100
126211000001109,01030100
12623611000001104,08010500
12626211000001108,03010101
126275001000027103,01010200
12639511000001103,02050502
126411000001108,02060200
126545001000027107,01060200
126565001000027101,03010110
12659811000001104,09010101
12660211000001101,09040251
12660611000001104,09040251
126611000001106,03040102
12661411000001106,09010101
12665311000001102,09040300
126775001000027107,10030200
126811000001105,02040000
126911000001100,04070100
12700111000001104,04010100
12700211000001105,04010100
12700311000001102,04010100
12700611000001107,04010100
12711000001100,09040300
127111000001100,09040402
127125001000027103,04070200
127345001000027109,02060100
127375001000027105,04070100
127395001000027101,04070100
12764811000001102,03110000
12765411000001103,07020100
12773911000001103,01050100
12774111000001104,09040300
12774311000001102,09040300
12775001000027103,01030200
12776511000001102,09060400
12777411000001104,01050100
12780311000001101,09040251
12780911000001100,08030403
12781011000001108,08030403
127811000001107,10030250
12781111000001109,09060700
12790311000001100,04070200
12790511000001106,04070200
12790811000001109,04070200
127915001000027109,04070200
12795001000027107,01060400
128085001000027107,06040300
12812911000001102,01040200
128211000001105,10010100
12825411000001107,06010103
128305001000027107,03030100
128411000001109,01030100
12848311000001106,06050200
12865001000027108,09040300
128711000001103,09040300
12871211000001106,04070200
12873011000001100,04020102
12874811000001109,04070200
12874911000001104,04070200
12875011000001104,04070200
12875111000001103,04070200
12881511000001103,04070200
12881711000001108,04070200
12882011000001103,04070200
12882411000001107,04070200
12882611000001105,04070200
129035001000027101,02060401
129055001000027102,04100200
12906111000001105,09010300
12906411000001100,03020000
129075001000027104,02060400
129095001000027108,02060401
12911000001103,04070100
12911011000001100,03020000
129135001000027107,02060200
129175001000027109,02060200
129235001000027109,03010101
129245001000027105,02050501
129255001000027108,04010100
129285001000027101,04010100
129425001000027106,02060200
129475001000027105,02060200
129515001000027109,07040300
129655001000027105,07030300
12975001000027108,09010101
129811000001104,04070200
129875001000027100,06040101
129885001000027105,06040101
129911000001109,04090100
129915001000027104,02060100
129985001000027102,04030100
129995001000027103,04030100
130005001000027107,04030100
130011000001104,09040251
13002511000001104,01030500
13003011000001103,04090200
13004311000001103,04070100
13004411000001105,04030300
13005001000027104,09040300
13006011000001106,02020100
13011000001106,10010100
13011611000001109,04020102
13011711000001100,04020102
13012211000001100,04020102
13012311000001108,04020102
13015411000001109,02060200
130155001000027108,07020200
13017211000001102,02080200
130211000001109,02060200
130415001000027104,07030450
13045711000001108,04030300
13045911000001105,04030300
130505001000027109,06010201
130705001000027105,04010200
130711000001102,02120300
13076011000001103,04080100
130785001000027109,10020200
130885001000027107,01040200
130895001000027106,09040300
130911000001100,01030100
130915001000027101,09045002
13094111000001102,02050504
13098211000001102,06060200
131065001000027101,06040101
131105001000027109,07040200
131125001000027102,09040300
13112711000001103,02050504
13113011000001109,04105100
13120611000001101,04020102
13122311000001105,10010100
13123411000001107,09040300
13123611000001105,09040300
13127011000001109,04090100
13127311000001107,02060200
131295001000027105,09040300
13131111000001101,09040300
131315001000027101,04020100
13131811000001108,09040300
13132011000001105,09040152
13132511000001102,09040300
13132911000001109,10010100
13133011000001101,04090100
13134411000001108,09040402
13135111000001104,09040300
131355001000027106,08030400
13135511000001108,09040300
13135811000001106,09040300
13143111000001104,09040300
13143811000001106,09040152
13144211000001108,09040300
13148611000001100,04020101
13149011000001102,03040102
13152811000001100,09040300
131535001000027109,09045001
13154311000001102,09045002
13154611000001107,09040300
13157111000001109,09045002
13158311000001107,09045002
13160411000001107,09040402
132045001000027106,04030100
13208811000001109,06060200
13211011000001106,06060200
132115001000027105,08010400
132125001000027101,08010400
132211000001105,01050100
132385001000027103,09040300
132405001000027107,09050400
132411000001109,01020300
132415001000027109,09040300
132435001000027103,09040300
132455001000027104,04020100
132511000001108,01060100
13255311000001101,01050100
132605001000027109,01090401
132615001000027106,02040000
132625001000027102,01090401
132635001000027100,01090401
132695001000027107,01090400
132715001000027101,09045002
132745001000027108,09045002
